Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BDL,Flanigan's Enterprises Inc. Common Stock,$26.0933,0.00,0.00%,48498234.00,United States,,17,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$2.00,0.07,3.627%,23148828.00,United States,,1821111,Technology,Radio And Television Broadcasting And Communications Equipment
BGI,Birks Group Inc. Common Stock,$2.16,-0.37,-14.625%,38817103.00,Canada,,764722,Consumer Services,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$24.38,-0.09,-0.368%,363958415.00,United States,,47340,Finance,Major Banks
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,$8.40,-0.37,-4.219%,338736947.00,,2018,45681,Basic Industries,Agricultural Chemicals
BKTI,BK Technologies Corporation Common Stock,$4.16,0.15,3.741%,52049779.00,United States,,33052,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$13.75,0.13,0.954%,167754153.00,,2018,153175,Finance,Major Banks
BRBS,Blue Ridge Bankshares Inc. Common Stock,$20.13,-1.11,-5.226%,248532026.00,,,49112,Finance,Major Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$10.46,-1.40,-11.804%,249446764.00,,2014,595248,Consumer Services,Real Estate Investment Trusts
BRG^A,Bluerock Residential Growth REIT Inc. 8.250% Series A Cumulative Redeemable Preferred Stock ($0.01 par value per share),$25.28,-0.0001,0.00%,,,,6113,,
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.5318,-0.0432,-0.169%,,,,3036,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.85,0.00,0.00%,,,,7523,,
BRN,Barnwell Industries Inc. Common Stock,$3.34,-0.64,-16.08%,27645714.00,United States,,581022,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.97,-0.08,-1.584%,5221443125.00,Canada,,5534012,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$2.54,-0.30,-10.563%,46236057.00,United States,,616206,Miscellaneous,Industrial Machinery/Components
BWL/A,Bowl America Inc.,$10.16,-0.84,-7.636%,,United States,,6760,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.66,0.11,4.314%,41001192.00,Israel,,3110608,Health Care,Major Pharmaceuticals
CCF,Chase Corporation Common Stock,$110.09,0.60,0.548%,1039953185.00,United States,,12813,Consumer Durables,Building Products
CDOR,Condor Hospitality Trust Inc. Common Stock,$4.95,-0.13,-2.559%,59474819.00,United States,,9272,Consumer Services,Real Estate Investment Trusts
CEI,Camber Energy Inc. Common Stock,$1.85,-0.14,-7.035%,46250000.00,United States,,7765165,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$35.49,0.15,0.424%,931271902.00,United States,,11112,,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$13.78,-0.04,-0.289%,98300664.00,United States,1999,19531,,
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$10.7937,0.1437,1.349%,116337791.00,,2020,17577,Finance,Business Services
